epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.19267290830612183,3.6544039249420166,0.5094578862190247,2.4631288051605225
1,0.3562570810317993,2.869615316390991,0.6265454888343811,1.9101190567016602
2,0.42899659276008606,2.5865843296051025,0.671562910079956,1.7316638231277466
3,0.481894850730896,2.4003710746765137,0.6973475813865662,1.6159456968307495
4,0.5092828869819641,2.2938599586486816,0.7175314426422119,1.5324615240097046
5,0.5315688848495483,2.203310489654541,0.734650731086731,1.4706244468688965
6,0.5512329936027527,2.131394386291504,0.7426820397377014,1.4425069093704224
7,0.5679209232330322,2.0688974857330322,0.7527211308479309,1.394878625869751
8,0.5767077803611755,2.032841920852661,0.7603297233581543,1.3757442235946655
9,0.5931476950645447,1.9839367866516113,0.7639226317405701,1.3537973165512085
10,0.5929705500602722,1.9691824913024902,0.7693120837211609,1.3359712362289429
11,0.6054067611694336,1.9307465553283691,0.7735390663146973,1.3221818208694458
12,0.614335298538208,1.906648874282837,0.7801965475082397,1.2974953651428223
13,0.6158588528633118,1.899461030960083,0.7798795104026794,1.3000208139419556
14,0.6252126097679138,1.8706551790237427,0.7787171006202698,1.2963461875915527
15,0.6252480149269104,1.8545430898666382,0.7828384041786194,1.2767188549041748
16,0.6361607313156128,1.815970540046692,0.7848462462425232,1.2651987075805664
17,0.6417942047119141,1.8124902248382568,0.788861870765686,1.2616084814071655
18,0.6425737142562866,1.8007781505584717,0.7930888533592224,1.252256989479065
19,0.6485615372657776,1.7758479118347168,0.7896016240119934,1.2536619901657104
20,0.6549744606018066,1.7616463899612427,0.7931945323944092,1.248120665550232
21,0.6495890021324158,1.7640374898910522,0.79710453748703,1.2319074869155884
22,0.6571711897850037,1.747711420059204,0.8015428781509399,1.2186648845672607
23,0.6632652878761292,1.7236948013305664,0.8018598556518555,1.2134416103363037
24,0.6590490341186523,1.7411378622055054,0.8048187494277954,1.2033199071884155
25,0.6660289168357849,1.723402500152588,0.802071213722229,1.208265781402588
26,0.6714143753051758,1.6963766813278198,0.8057698607444763,1.1987740993499756
27,0.6690050959587097,1.697784662246704,0.8068265914916992,1.197170615196228
28,0.6734339594841003,1.6874741315841675,0.8053471446037292,1.1998122930526733
29,0.6768707633018494,1.6801791191101074,0.8052414655685425,1.198927879333496
30,0.6720167398452759,1.684220790863037,0.8116876482963562,1.1832773685455322
31,0.6786777377128601,1.6624653339385986,0.8098911643028259,1.1897227764129639
32,0.675595223903656,1.6745147705078125,0.8087287545204163,1.186288833618164
33,0.6771541833877563,1.67412269115448,0.8102082014083862,1.1891438961029053
34,0.6859764456748962,1.6454999446868896,0.8074606657028198,1.1919713020324707
35,0.6838151812553406,1.6574084758758545,0.8109478950500488,1.1832538843154907
36,0.6808744072914124,1.6554538011550903,0.8125330209732056,1.179675817489624
37,0.6896612644195557,1.6370667219161987,0.8112649321556091,1.175986409187317
38,0.6873937249183655,1.629886269569397,0.8126387000083923,1.173133134841919
39,0.6882794499397278,1.6316536664962769,0.8121103048324585,1.1768718957901
40,0.6930271983146667,1.625744104385376,0.8154919147491455,1.162906289100647
41,0.6987670063972473,1.602291226387024,0.8170770406723022,1.171117901802063
42,0.6922122836112976,1.6228548288345337,0.8161259889602661,1.1689032316207886
43,0.6928854584693909,1.613276720046997,0.8149635195732117,1.1682260036468506
44,0.6903699040412903,1.6260465383529663,0.8183451294898987,1.1648465394973755
45,0.6941255927085876,1.6039294004440308,0.8195075392723083,1.1520901918411255
46,0.6985189914703369,1.587917447090149,0.8160203099250793,1.159695029258728
47,0.6991212964057922,1.5951836109161377,0.8183451294898987,1.157249093055725
48,0.7005385756492615,1.5874286890029907,0.8194018602371216,1.1551899909973145
49,0.7007865905761719,1.5983827114105225,0.8180280923843384,1.1613322496414185
50,0.7040107846260071,1.57991361618042,0.8176054358482361,1.1504435539245605
51,0.7086876630783081,1.564435601234436,0.8145408630371094,1.1600944995880127
52,0.7038690447807312,1.582108497619629,0.8213040232658386,1.139954686164856
53,0.7027352452278137,1.5856305360794067,0.8174997568130493,1.1532118320465088
54,0.7060303092002869,1.5676096677780151,0.820669949054718,1.152374267578125
55,0.7071641087532043,1.5689197778701782,0.8225721120834351,1.138651967048645
